"school_id","school_name","address","city","state","zip_code","class_id","school_id-2","class_name","city-2","schedule_time","room_number","teacher_id","school_id-3","first_name","last_name","subject","hire_date","enrollment_id","school_id-4","boy_id","girl_id","enrollment_date","student_id","school_id-5","first_name-2","last_name-2","date_of_birth","grade_level","subject_id","school_id-6","subject_name","description","credits","teacher_name"
12,"School 12","Address 12","City 2","State 2","ZIP00012",11,12,"Class 11","City 1","08:11:00","Room 11",11,12,"TeacherFirstName11","TeacherLastName11","Subject 1","2010-01-12",11,12,12,512,"2022-01-12",11,12,"FirstName11","LastName11","2000-01-12",12,1011,12,"Unique Subject 1011","Unique description for subject 1011",2,"Teacher 1011"
13,"School 13","Address 13","City 3","State 3","ZIP00013",12,13,"Class 12","City 2","08:12:00","Room 12",12,13,"TeacherFirstName12","TeacherLastName12","Subject 2","2010-01-13",12,13,13,513,"2022-01-13",12,13,"FirstName12","LastName12","2000-01-13",1,1012,13,"Unique Subject 1012","Unique description for subject 1012",3,"Teacher 1012"
14,"School 14","Address 14","City 4","State 4","ZIP00014",13,14,"Class 13","City 3","08:13:00","Room 13",13,14,"TeacherFirstName13","TeacherLastName13","Subject 3","2010-01-14",13,14,14,514,"2022-01-14",13,14,"FirstName13","LastName13","2000-01-14",2,1013,14,"Unique Subject 1013","Unique description for subject 1013",4,"Teacher 1013"
15,"School 15","Address 15","City 5","State 0","ZIP00015",14,15,"Class 14","City 4","08:14:00","Room 14",14,15,"TeacherFirstName14","TeacherLastName14","Subject 4","2010-01-15",14,15,15,515,"2022-01-15",14,15,"FirstName14","LastName14","2000-01-15",3,1014,15,"Unique Subject 1014","Unique description for subject 1014",5,"Teacher 1014"
16,"School 16","Address 16","City 6","State 1","ZIP00016",15,16,"Class 15","City 5","08:15:00","Room 15",15,16,"TeacherFirstName15","TeacherLastName15","Subject 5","2010-01-16",15,16,16,516,"2022-01-16",15,16,"FirstName15","LastName15","2000-01-16",4,1015,16,"Unique Subject 1015","Unique description for subject 1015",1,"Teacher 1015"
17,"School 17","Address 17","City 7","State 2","ZIP00017",16,17,"Class 16","City 6","08:16:00","Room 16",16,17,"TeacherFirstName16","TeacherLastName16","Subject 6","2010-01-17",16,17,17,517,"2022-01-17",16,17,"FirstName16","LastName16","2000-01-17",5,1016,17,"Unique Subject 1016","Unique description for subject 1016",2,"Teacher 1016"
18,"School 18","Address 18","City 8","State 3","ZIP00018",17,18,"Class 17","City 7","08:17:00","Room 17",17,18,"TeacherFirstName17","TeacherLastName17","Subject 7","2010-01-18",17,18,18,518,"2022-01-18",17,18,"FirstName17","LastName17","2000-01-18",6,1017,18,"Unique Subject 1017","Unique description for subject 1017",3,"Teacher 1017"
19,"School 19","Address 19","City 9","State 4","ZIP00019",18,19,"Class 18","City 8","08:18:00","Room 18",18,19,"TeacherFirstName18","TeacherLastName18","Subject 8","2010-01-19",18,19,19,519,"2022-01-19",18,19,"FirstName18","LastName18","2000-01-19",7,1018,19,"Unique Subject 1018","Unique description for subject 1018",4,"Teacher 1018"
20,"School 20","Address 20","City 0","State 0","ZIP00020",19,20,"Class 19","City 9","08:19:00","Room 19",19,20,"TeacherFirstName19","TeacherLastName19","Subject 9","2010-01-20",19,20,20,520,"2022-01-20",19,20,"FirstName19","LastName19","2000-01-20",8,1019,20,"Unique Subject 1019","Unique description for subject 1019",5,"Teacher 1019"
21,"School 21","Address 21","City 1","State 1","ZIP00021",20,21,"Class 20","City 0","08:20:00","Room 20",20,21,"TeacherFirstName20","TeacherLastName20","Subject 0","2010-01-21",20,21,21,521,"2022-01-21",20,21,"FirstName20","LastName20","2000-01-21",9,1020,21,"Unique Subject 1020","Unique description for subject 1020",1,"Teacher 1020"
22,"School 22","Address 22","City 2","State 2","ZIP00022",21,22,"Class 21","City 1","08:21:00","Room 21",21,22,"TeacherFirstName21","TeacherLastName21","Subject 1","2010-01-22",21,22,22,522,"2022-01-22",21,22,"FirstName21","LastName21","2000-01-22",10,1021,22,"Unique Subject 1021","Unique description for subject 1021",2,"Teacher 1021"
23,"School 23","Address 23","City 3","State 3","ZIP00023",22,23,"Class 22","City 2","08:22:00","Room 22",22,23,"TeacherFirstName22","TeacherLastName22","Subject 2","2010-01-23",22,23,23,523,"2022-01-23",22,23,"FirstName22","LastName22","2000-01-23",11,1022,23,"Unique Subject 1022","Unique description for subject 1022",3,"Teacher 1022"
24,"School 24","Address 24","City 4","State 4","ZIP00024",23,24,"Class 23","City 3","08:23:00","Room 23",23,24,"TeacherFirstName23","TeacherLastName23","Subject 3","2010-01-24",23,24,24,524,"2022-01-24",23,24,"FirstName23","LastName23","2000-01-24",12,1023,24,"Unique Subject 1023","Unique description for subject 1023",4,"Teacher 1023"
25,"School 25","Address 25","City 5","State 0","ZIP00025",24,25,"Class 24","City 4","08:24:00","Room 24",24,25,"TeacherFirstName24","TeacherLastName24","Subject 4","2010-01-25",24,25,25,525,"2022-01-25",24,25,"FirstName24","LastName24","2000-01-25",1,1024,25,"Unique Subject 1024","Unique description for subject 1024",5,"Teacher 1024"
26,"School 26","Address 26","City 6","State 1","ZIP00026",25,26,"Class 25","City 5","08:25:00","Room 25",25,26,"TeacherFirstName25","TeacherLastName25","Subject 5","2010-01-26",25,26,26,526,"2022-01-26",25,26,"FirstName25","LastName25","2000-01-26",2,1025,26,"Unique Subject 1025","Unique description for subject 1025",1,"Teacher 1025"
27,"School 27","Address 27","City 7","State 2","ZIP00027",26,27,"Class 26","City 6","08:26:00","Room 26",26,27,"TeacherFirstName26","TeacherLastName26","Subject 6","2010-01-27",26,27,27,527,"2022-01-27",26,27,"FirstName26","LastName26","2000-01-27",3,1026,27,"Unique Subject 1026","Unique description for subject 1026",2,"Teacher 1026"
28,"School 28","Address 28","City 8","State 3","ZIP00028",27,28,"Class 27","City 7","08:27:00","Room 27",27,28,"TeacherFirstName27","TeacherLastName27","Subject 7","2010-01-28",27,28,28,528,"2022-01-28",27,28,"FirstName27","LastName27","2000-01-28",4,1027,28,"Unique Subject 1027","Unique description for subject 1027",3,"Teacher 1027"
29,"School 29","Address 29","City 9","State 4","ZIP00029",28,29,"Class 28","City 8","08:28:00","Room 28",28,29,"TeacherFirstName28","TeacherLastName28","Subject 8","2010-01-29",28,29,29,529,"2022-01-29",28,29,"FirstName28","LastName28","2000-01-29",5,1028,29,"Unique Subject 1028","Unique description for subject 1028",4,"Teacher 1028"
30,"School 30","Address 30","City 0","State 0","ZIP00030",29,30,"Class 29","City 9","08:29:00","Room 29",29,30,"TeacherFirstName29","TeacherLastName29","Subject 9","2010-01-30",29,30,30,530,"2022-01-30",29,30,"FirstName29","LastName29","2000-01-30",6,1029,30,"Unique Subject 1029","Unique description for subject 1029",5,"Teacher 1029"
31,"School 31","Address 31","City 1","State 1","ZIP00031",30,31,"Class 30","City 0","08:30:00","Room 30",30,31,"TeacherFirstName30","TeacherLastName30","Subject 0","2010-01-31",30,31,31,531,"2022-01-31",30,31,"FirstName30","LastName30","2000-01-31",7,1030,31,"Unique Subject 1030","Unique description for subject 1030",1,"Teacher 1030"
32,"School 32","Address 32","City 2","State 2","ZIP00032",31,32,"Class 31","City 1","08:31:00","Room 31",31,32,"TeacherFirstName31","TeacherLastName31","Subject 1","2010-02-01",31,32,32,532,"2022-02-01",31,32,"FirstName31","LastName31","2000-02-01",8,1031,32,"Unique Subject 1031","Unique description for subject 1031",2,"Teacher 1031"
33,"School 33","Address 33","City 3","State 3","ZIP00033",32,33,"Class 32","City 2","08:32:00","Room 32",32,33,"TeacherFirstName32","TeacherLastName32","Subject 2","2010-02-02",32,33,33,533,"2022-02-02",32,33,"FirstName32","LastName32","2000-02-02",9,1032,33,"Unique Subject 1032","Unique description for subject 1032",3,"Teacher 1032"
34,"School 34","Address 34","City 4","State 4","ZIP00034",33,34,"Class 33","City 3","08:33:00","Room 33",33,34,"TeacherFirstName33","TeacherLastName33","Subject 3","2010-02-03",33,34,34,534,"2022-02-03",33,34,"FirstName33","LastName33","2000-02-03",10,1033,34,"Unique Subject 1033","Unique description for subject 1033",4,"Teacher 1033"
35,"School 35","Address 35","City 5","State 0","ZIP00035",34,35,"Class 34","City 4","08:34:00","Room 34",34,35,"TeacherFirstName34","TeacherLastName34","Subject 4","2010-02-04",34,35,35,535,"2022-02-04",34,35,"FirstName34","LastName34","2000-02-04",11,1034,35,"Unique Subject 1034","Unique description for subject 1034",5,"Teacher 1034"
36,"School 36","Address 36","City 6","State 1","ZIP00036",35,36,"Class 35","City 5","08:35:00","Room 35",35,36,"TeacherFirstName35","TeacherLastName35","Subject 5","2010-02-05",35,36,36,536,"2022-02-05",35,36,"FirstName35","LastName35","2000-02-05",12,1035,36,"Unique Subject 1035","Unique description for subject 1035",1,"Teacher 1035"
37,"School 37","Address 37","City 7","State 2","ZIP00037",36,37,"Class 36","City 6","08:36:00","Room 36",36,37,"TeacherFirstName36","TeacherLastName36","Subject 6","2010-02-06",36,37,37,537,"2022-02-06",36,37,"FirstName36","LastName36","2000-02-06",1,1036,37,"Unique Subject 1036","Unique description for subject 1036",2,"Teacher 1036"
38,"School 38","Address 38","City 8","State 3","ZIP00038",37,38,"Class 37","City 7","08:37:00","Room 37",37,38,"TeacherFirstName37","TeacherLastName37","Subject 7","2010-02-07",37,38,38,538,"2022-02-07",37,38,"FirstName37","LastName37","2000-02-07",2,1037,38,"Unique Subject 1037","Unique description for subject 1037",3,"Teacher 1037"
39,"School 39","Address 39","City 9","State 4","ZIP00039",38,39,"Class 38","City 8","08:38:00","Room 38",38,39,"TeacherFirstName38","TeacherLastName38","Subject 8","2010-02-08",38,39,39,539,"2022-02-08",38,39,"FirstName38","LastName38","2000-02-08",3,1038,39,"Unique Subject 1038","Unique description for subject 1038",4,"Teacher 1038"
40,"School 40","Address 40","City 0","State 0","ZIP00040",39,40,"Class 39","City 9","08:39:00","Room 39",39,40,"TeacherFirstName39","TeacherLastName39","Subject 9","2010-02-09",39,40,40,540,"2022-02-09",39,40,"FirstName39","LastName39","2000-02-09",4,1039,40,"Unique Subject 1039","Unique description for subject 1039",5,"Teacher 1039"
41,"School 41","Address 41","City 1","State 1","ZIP00041",40,41,"Class 40","City 0","08:40:00","Room 40",40,41,"TeacherFirstName40","TeacherLastName40","Subject 0","2010-02-10",40,41,41,541,"2022-02-10",40,41,"FirstName40","LastName40","2000-02-10",5,1040,41,"Unique Subject 1040","Unique description for subject 1040",1,"Teacher 1040"
42,"School 42","Address 42","City 2","State 2","ZIP00042",41,42,"Class 41","City 1","08:41:00","Room 41",41,42,"TeacherFirstName41","TeacherLastName41","Subject 1","2010-02-11",41,42,42,542,"2022-02-11",41,42,"FirstName41","LastName41","2000-02-11",6,1041,42,"Unique Subject 1041","Unique description for subject 1041",2,"Teacher 1041"
43,"School 43","Address 43","City 3","State 3","ZIP00043",42,43,"Class 42","City 2","08:42:00","Room 42",42,43,"TeacherFirstName42","TeacherLastName42","Subject 2","2010-02-12",42,43,43,543,"2022-02-12",42,43,"FirstName42","LastName42","2000-02-12",7,1042,43,"Unique Subject 1042","Unique description for subject 1042",3,"Teacher 1042"
44,"School 44","Address 44","City 4","State 4","ZIP00044",43,44,"Class 43","City 3","08:43:00","Room 43",43,44,"TeacherFirstName43","TeacherLastName43","Subject 3","2010-02-13",43,44,44,544,"2022-02-13",43,44,"FirstName43","LastName43","2000-02-13",8,1043,44,"Unique Subject 1043","Unique description for subject 1043",4,"Teacher 1043"
45,"School 45","Address 45","City 5","State 0","ZIP00045",44,45,"Class 44","City 4","08:44:00","Room 44",44,45,"TeacherFirstName44","TeacherLastName44","Subject 4","2010-02-14",44,45,45,545,"2022-02-14",44,45,"FirstName44","LastName44","2000-02-14",9,1044,45,"Unique Subject 1044","Unique description for subject 1044",5,"Teacher 1044"
46,"School 46","Address 46","City 6","State 1","ZIP00046",45,46,"Class 45","City 5","08:45:00","Room 45",45,46,"TeacherFirstName45","TeacherLastName45","Subject 5","2010-02-15",45,46,46,546,"2022-02-15",45,46,"FirstName45","LastName45","2000-02-15",10,1045,46,"Unique Subject 1045","Unique description for subject 1045",1,"Teacher 1045"
47,"School 47","Address 47","City 7","State 2","ZIP00047",46,47,"Class 46","City 6","08:46:00","Room 46",46,47,"TeacherFirstName46","TeacherLastName46","Subject 6","2010-02-16",46,47,47,547,"2022-02-16",46,47,"FirstName46","LastName46","2000-02-16",11,1046,47,"Unique Subject 1046","Unique description for subject 1046",2,"Teacher 1046"
48,"School 48","Address 48","City 8","State 3","ZIP00048",47,48,"Class 47","City 7","08:47:00","Room 47",47,48,"TeacherFirstName47","TeacherLastName47","Subject 7","2010-02-17",47,48,48,548,"2022-02-17",47,48,"FirstName47","LastName47","2000-02-17",12,1047,48,"Unique Subject 1047","Unique description for subject 1047",3,"Teacher 1047"
49,"School 49","Address 49","City 9","State 4","ZIP00049",48,49,"Class 48","City 8","08:48:00","Room 48",48,49,"TeacherFirstName48","TeacherLastName48","Subject 8","2010-02-18",48,49,49,549,"2022-02-18",48,49,"FirstName48","LastName48","2000-02-18",1,1048,49,"Unique Subject 1048","Unique description for subject 1048",4,"Teacher 1048"
50,"School 50","Address 50","City 0","State 0","ZIP00050",49,50,"Class 49","City 9","08:49:00","Room 49",49,50,"TeacherFirstName49","TeacherLastName49","Subject 9","2010-02-19",49,50,50,550,"2022-02-19",49,50,"FirstName49","LastName49","2000-02-19",2,1049,50,"Unique Subject 1049","Unique description for subject 1049",5,"Teacher 1049"
51,"School 51","Address 51","City 1","State 1","ZIP00051",50,51,"Class 50","City 0","08:50:00","Room 0",50,51,"TeacherFirstName50","TeacherLastName50","Subject 0","2010-02-20",50,51,51,551,"2022-02-20",50,51,"FirstName50","LastName50","2000-02-20",3,1050,51,"Unique Subject 1050","Unique description for subject 1050",1,"Teacher 1050"
52,"School 52","Address 52","City 2","State 2","ZIP00052",51,52,"Class 51","City 1","08:51:00","Room 1",51,52,"TeacherFirstName51","TeacherLastName51","Subject 1","2010-02-21",51,52,52,552,"2022-02-21",51,52,"FirstName51","LastName51","2000-02-21",4,1051,52,"Unique Subject 1051","Unique description for subject 1051",2,"Teacher 1051"
53,"School 53","Address 53","City 3","State 3","ZIP00053",52,53,"Class 52","City 2","08:52:00","Room 2",52,53,"TeacherFirstName52","TeacherLastName52","Subject 2","2010-02-22",52,53,53,553,"2022-02-22",52,53,"FirstName52","LastName52","2000-02-22",5,1052,53,"Unique Subject 1052","Unique description for subject 1052",3,"Teacher 1052"
54,"School 54","Address 54","City 4","State 4","ZIP00054",53,54,"Class 53","City 3","08:53:00","Room 3",53,54,"TeacherFirstName53","TeacherLastName53","Subject 3","2010-02-23",53,54,54,554,"2022-02-23",53,54,"FirstName53","LastName53","2000-02-23",6,1053,54,"Unique Subject 1053","Unique description for subject 1053",4,"Teacher 1053"
55,"School 55","Address 55","City 5","State 0","ZIP00055",54,55,"Class 54","City 4","08:54:00","Room 4",54,55,"TeacherFirstName54","TeacherLastName54","Subject 4","2010-02-24",54,55,55,555,"2022-02-24",54,55,"FirstName54","LastName54","2000-02-24",7,1054,55,"Unique Subject 1054","Unique description for subject 1054",5,"Teacher 1054"
56,"School 56","Address 56","City 6","State 1","ZIP00056",55,56,"Class 55","City 5","08:55:00","Room 5",55,56,"TeacherFirstName55","TeacherLastName55","Subject 5","2010-02-25",55,56,56,556,"2022-02-25",55,56,"FirstName55","LastName55","2000-02-25",8,1055,56,"Unique Subject 1055","Unique description for subject 1055",1,"Teacher 1055"
57,"School 57","Address 57","City 7","State 2","ZIP00057",56,57,"Class 56","City 6","08:56:00","Room 6",56,57,"TeacherFirstName56","TeacherLastName56","Subject 6","2010-02-26",56,57,57,557,"2022-02-26",56,57,"FirstName56","LastName56","2000-02-26",9,1056,57,"Unique Subject 1056","Unique description for subject 1056",2,"Teacher 1056"
58,"School 58","Address 58","City 8","State 3","ZIP00058",57,58,"Class 57","City 7","08:57:00","Room 7",57,58,"TeacherFirstName57","TeacherLastName57","Subject 7","2010-02-27",57,58,58,558,"2022-02-27",57,58,"FirstName57","LastName57","2000-02-27",10,1057,58,"Unique Subject 1057","Unique description for subject 1057",3,"Teacher 1057"
59,"School 59","Address 59","City 9","State 4","ZIP00059",58,59,"Class 58","City 8","08:58:00","Room 8",58,59,"TeacherFirstName58","TeacherLastName58","Subject 8","2010-02-28",58,59,59,559,"2022-02-28",58,59,"FirstName58","LastName58","2000-02-28",11,1058,59,"Unique Subject 1058","Unique description for subject 1058",4,"Teacher 1058"
60,"School 60","Address 60","City 0","State 0","ZIP00060",59,60,"Class 59","City 9","08:59:00","Room 9",59,60,"TeacherFirstName59","TeacherLastName59","Subject 9","2010-03-01",59,60,60,560,"2022-03-01",59,60,"FirstName59","LastName59","2000-02-29",12,1059,60,"Unique Subject 1059","Unique description for subject 1059",5,"Teacher 1059"
61,"School 61","Address 61","City 1","State 1","ZIP00061",60,61,"Class 60","City 0","09:00:00","Room 10",60,61,"TeacherFirstName60","TeacherLastName60","Subject 0","2010-03-02",60,61,61,561,"2022-03-02",60,61,"FirstName60","LastName60","2000-03-01",1,1060,61,"Unique Subject 1060","Unique description for subject 1060",1,"Teacher 1060"
62,"School 62","Address 62","City 2","State 2","ZIP00062",61,62,"Class 61","City 1","09:01:00","Room 11",61,62,"TeacherFirstName61","TeacherLastName61","Subject 1","2010-03-03",61,62,62,562,"2022-03-03",61,62,"FirstName61","LastName61","2000-03-02",2,1061,62,"Unique Subject 1061","Unique description for subject 1061",2,"Teacher 1061"
63,"School 63","Address 63","City 3","State 3","ZIP00063",62,63,"Class 62","City 2","09:02:00","Room 12",62,63,"TeacherFirstName62","TeacherLastName62","Subject 2","2010-03-04",62,63,63,563,"2022-03-04",62,63,"FirstName62","LastName62","2000-03-03",3,1062,63,"Unique Subject 1062","Unique description for subject 1062",3,"Teacher 1062"
64,"School 64","Address 64","City 4","State 4","ZIP00064",63,64,"Class 63","City 3","09:03:00","Room 13",63,64,"TeacherFirstName63","TeacherLastName63","Subject 3","2010-03-05",63,64,64,564,"2022-03-05",63,64,"FirstName63","LastName63","2000-03-04",4,1063,64,"Unique Subject 1063","Unique description for subject 1063",4,"Teacher 1063"
65,"School 65","Address 65","City 5","State 0","ZIP00065",64,65,"Class 64","City 4","09:04:00","Room 14",64,65,"TeacherFirstName64","TeacherLastName64","Subject 4","2010-03-06",64,65,65,565,"2022-03-06",64,65,"FirstName64","LastName64","2000-03-05",5,1064,65,"Unique Subject 1064","Unique description for subject 1064",5,"Teacher 1064"
66,"School 66","Address 66","City 6","State 1","ZIP00066",65,66,"Class 65","City 5","09:05:00","Room 15",65,66,"TeacherFirstName65","TeacherLastName65","Subject 5","2010-03-07",65,66,66,566,"2022-03-07",65,66,"FirstName65","LastName65","2000-03-06",6,1065,66,"Unique Subject 1065","Unique description for subject 1065",1,"Teacher 1065"
67,"School 67","Address 67","City 7","State 2","ZIP00067",66,67,"Class 66","City 6","09:06:00","Room 16",66,67,"TeacherFirstName66","TeacherLastName66","Subject 6","2010-03-08",66,67,67,567,"2022-03-08",66,67,"FirstName66","LastName66","2000-03-07",7,1066,67,"Unique Subject 1066","Unique description for subject 1066",2,"Teacher 1066"
68,"School 68","Address 68","City 8","State 3","ZIP00068",67,68,"Class 67","City 7","09:07:00","Room 17",67,68,"TeacherFirstName67","TeacherLastName67","Subject 7","2010-03-09",67,68,68,568,"2022-03-09",67,68,"FirstName67","LastName67","2000-03-08",8,1067,68,"Unique Subject 1067","Unique description for subject 1067",3,"Teacher 1067"
69,"School 69","Address 69","City 9","State 4","ZIP00069",68,69,"Class 68","City 8","09:08:00","Room 18",68,69,"TeacherFirstName68","TeacherLastName68","Subject 8","2010-03-10",68,69,69,569,"2022-03-10",68,69,"FirstName68","LastName68","2000-03-09",9,1068,69,"Unique Subject 1068","Unique description for subject 1068",4,"Teacher 1068"
70,"School 70","Address 70","City 0","State 0","ZIP00070",69,70,"Class 69","City 9","09:09:00","Room 19",69,70,"TeacherFirstName69","TeacherLastName69","Subject 9","2010-03-11",69,70,70,570,"2022-03-11",69,70,"FirstName69","LastName69","2000-03-10",10,1069,70,"Unique Subject 1069","Unique description for subject 1069",5,"Teacher 1069"
71,"School 71","Address 71","City 1","State 1","ZIP00071",70,71,"Class 70","City 0","09:10:00","Room 20",70,71,"TeacherFirstName70","TeacherLastName70","Subject 0","2010-03-12",70,71,71,571,"2022-03-12",70,71,"FirstName70","LastName70","2000-03-11",11,1070,71,"Unique Subject 1070","Unique description for subject 1070",1,"Teacher 1070"
72,"School 72","Address 72","City 2","State 2","ZIP00072",71,72,"Class 71","City 1","09:11:00","Room 21",71,72,"TeacherFirstName71","TeacherLastName71","Subject 1","2010-03-13",71,72,72,572,"2022-03-13",71,72,"FirstName71","LastName71","2000-03-12",12,1071,72,"Unique Subject 1071","Unique description for subject 1071",2,"Teacher 1071"
73,"School 73","Address 73","City 3","State 3","ZIP00073",72,73,"Class 72","City 2","09:12:00","Room 22",72,73,"TeacherFirstName72","TeacherLastName72","Subject 2","2010-03-14",72,73,73,573,"2022-03-14",72,73,"FirstName72","LastName72","2000-03-13",1,1072,73,"Unique Subject 1072","Unique description for subject 1072",3,"Teacher 1072"
74,"School 74","Address 74","City 4","State 4","ZIP00074",73,74,"Class 73","City 3","09:13:00","Room 23",73,74,"TeacherFirstName73","TeacherLastName73","Subject 3","2010-03-15",73,74,74,574,"2022-03-15",73,74,"FirstName73","LastName73","2000-03-14",2,1073,74,"Unique Subject 1073","Unique description for subject 1073",4,"Teacher 1073"
75,"School 75","Address 75","City 5","State 0","ZIP00075",74,75,"Class 74","City 4","09:14:00","Room 24",74,75,"TeacherFirstName74","TeacherLastName74","Subject 4","2010-03-16",74,75,75,575,"2022-03-16",74,75,"FirstName74","LastName74","2000-03-15",3,1074,75,"Unique Subject 1074","Unique description for subject 1074",5,"Teacher 1074"
76,"School 76","Address 76","City 6","State 1","ZIP00076",75,76,"Class 75","City 5","09:15:00","Room 25",75,76,"TeacherFirstName75","TeacherLastName75","Subject 5","2010-03-17",75,76,76,576,"2022-03-17",75,76,"FirstName75","LastName75","2000-03-16",4,1075,76,"Unique Subject 1075","Unique description for subject 1075",1,"Teacher 1075"
77,"School 77","Address 77","City 7","State 2","ZIP00077",76,77,"Class 76","City 6","09:16:00","Room 26",76,77,"TeacherFirstName76","TeacherLastName76","Subject 6","2010-03-18",76,77,77,577,"2022-03-18",76,77,"FirstName76","LastName76","2000-03-17",5,1076,77,"Unique Subject 1076","Unique description for subject 1076",2,"Teacher 1076"
78,"School 78","Address 78","City 8","State 3","ZIP00078",77,78,"Class 77","City 7","09:17:00","Room 27",77,78,"TeacherFirstName77","TeacherLastName77","Subject 7","2010-03-19",77,78,78,578,"2022-03-19",77,78,"FirstName77","LastName77","2000-03-18",6,1077,78,"Unique Subject 1077","Unique description for subject 1077",3,"Teacher 1077"
79,"School 79","Address 79","City 9","State 4","ZIP00079",78,79,"Class 78","City 8","09:18:00","Room 28",78,79,"TeacherFirstName78","TeacherLastName78","Subject 8","2010-03-20",78,79,79,579,"2022-03-20",78,79,"FirstName78","LastName78","2000-03-19",7,1078,79,"Unique Subject 1078","Unique description for subject 1078",4,"Teacher 1078"
80,"School 80","Address 80","City 0","State 0","ZIP00080",79,80,"Class 79","City 9","09:19:00","Room 29",79,80,"TeacherFirstName79","TeacherLastName79","Subject 9","2010-03-21",79,80,80,580,"2022-03-21",79,80,"FirstName79","LastName79","2000-03-20",8,1079,80,"Unique Subject 1079","Unique description for subject 1079",5,"Teacher 1079"
81,"School 81","Address 81","City 1","State 1","ZIP00081",80,81,"Class 80","City 0","09:20:00","Room 30",80,81,"TeacherFirstName80","TeacherLastName80","Subject 0","2010-03-22",80,81,81,581,"2022-03-22",80,81,"FirstName80","LastName80","2000-03-21",9,1080,81,"Unique Subject 1080","Unique description for subject 1080",1,"Teacher 1080"
